FIC,Non_FIC
,974
,5628
,57434
,15212
,5
,16958
,1136
,84039
,6660
,2697
,14916
,0
,15470
,860
,0
,4
,1163
,0
,0
,0
,0
,0
,1
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,981
,473
,108
,1351
,93
,743
,167
,24
,126
,213
,1
,88
,15668
,36
,5154
,18508
,7
,1
,287
,0
,0
,0
,0
,1
,0
,0
,1
,4
,16749
,224
,1
,525
,2933
,1423
,5
,1373
,3462
,1456
,771
,5
,4234
,21
,303
,3372
,31
,2
,2936
,5013
,0
,3
,92
,83
,148
,3
,64
,4
,35
,3
,25
,618
,29
,153
,55
,196
,3290
,0
,13
,12
,861
,2
,58
,805
,6363
,306
,22
,4
,13
,12
,8124
,1
,1
,6
,2810
,0
,5702
,110
,1
,0
,0
,1
,1
,29597
,25
,4228
,1434
,11582
,2485
,2
,194
,3157
,540
,708
,1
,2
,46
,2321
,13
,1880
,193
,3724
,171
,406
,1067
,442
,152
,2
,414
,11385
,0
,6
,6320
,719
,4
,698
,129
,62
,42
,11
,62
,896
,14812
,2415
,6
,1178
,407
,28
,1443
,1865
,2596
,8
,2914
,81
,65
,1519
,20
,31
,37
,861
,1843
,2271
,965
,1567
,271
,87
,4
,2353
,19
,22
,41
,15
,226
,242
,694
,228
,25
,1372
,10
,9
,0
,0
,1
,1255
,24
,0
,12
,0
,4424
,6
,630
,27
,1367
,827
,117
,888
,1
,11
,2974
,29
,0
,192
,1681
,1
,485
,11519
,25
,0
,1276
,47732
,208
,1135
,270
,29
,2
,873
,3534
,375
,0
,1
,23
,28
,0
,18039
,23743
,27
,1
,31536
,29570
,282
,42629
,2573
,19579
,1883
,6326
,8318
,11674
,43827
,27
,1655
,28618
,41
,12857
,22599
,6196
,8
,15
,315
,56
,9
,1
,3
,4
,760
,7718
,18
,0
,0
,17
,4
,14
,5092
,3958
,0
,0
,31
,2
,1
,1
,139
,17
,2
,5
,9
,4
,3
,0
,14
,4
,51
,0
,20
,43
,1
,0
,3
,3
,17
,4
,0
,2
,0
,7
,2
,5
,1
,0
,239
,23
,9
,1
,1
,92
,1
,7
,1
,32
,0
,2
,3
,0
,50
,2
,454
,227
,21
,43
,368
,210
,2
,2
,0
,275
,96
,0
,2
,176
,734
,27
,3057
,99
,222
,180
,23
,42
,96
,10
,18
,2711
,7370
,15
,3
,0
,18
,1209
,2
,166
,33
,21
,48
,0
,1
,7
,10
,8
,2550
,14809
,18
,34270
,2840
,1303
,2
,2
,0
,37
,1392
,0
,57
,2
,1
,3
,92
,11
,1232
,5846
,37
,36
,9
,13
,16
,10072
,13
,1400
,5
,9
,15839
,716
,23
,10
,5
,9
,11
,1230
,0
,0
,1
,0
,10
,1
,0
,0
,2
,3
,3
,0
,0
,0
,0
,4
,27529
,20
,1
,2191
,19682
,16
,18718
,4
,1132
,3
,29
,4030
,0
,7
,27
,4
,3179
,1
,0
,6
,1379
,0
,19345
,10
,2980
,4314
,254
,36
,4
,472
,18
,485
,1418
,3
,59
,10
,23
,1
,1008
,13
,1116
,1
,72
,9
,297
,1
,1
,1033
,1
,664
,15
,20
,45
,42
,5
,31
,11
,52
,19
,13
,0
,1
,12
,0
,10
,651
,449
,0
,0
,0
,8
,6
,1
,17
,0
,0
,0
,333
,1141
,65
,31
,6
,1
,3
,21
,36
,15
,3
,15
,588
,170
,24
,34
,8
,1723
,4582
,3545
,45
,2
,683
,35
,0
,4146
,53
,27
,11
,1221
,6
,45
,28
,1997
,11
,2
,598
,3
,19
,18
,9
,0
,6
,0
,5
,5354
,5
,4
,1
,1
,8
,2
,10
,3
,3717
,12423
,2
,22
,6
,2
,1
,1
,0
,19
,0
,51
,19
,362
,0
,0
,16
,0
,168
,2258
,28
,413
,129
,630
,76
,210
,11
,10
,936
,48
,80
,4
,136
,641
,42
,5019
,29
,1954
,9
,936
,304
,291
,17
,9
,20
,3
,11
,3
,4
,6
,1186
,9
,2
,1
,1
,1
,34
,710
,2107
,5990
,0
,3
,6889
,18
,6
,2
,23
,4
,2379
,9
,6
,274
,14
,5
,0
,5
,405
,6527
,561
,22
,4
,984
,5
,4346
,15
,7
,21
,148
,295
,0
,8
,4
,3
,1531
,2178
,22
,66
,58
,75
,7
,5
,15
,13
,25
,15
,2
,139
,7
,6
,7
,73
,4
,0
,0
,0
,1345
,126
,8
,35
,176
,11
,1107
,11
,9
,415
,7
,966
,8
,8
,23
,8
,42
,39
,260
,24
,14
,5
,8
,14
,18
,3
,11
,21
,536
,7
,1
,11
,16
,2
,45
,0
,0
,102
,162
,3
,3
,1252
,3
,33
,40
,41
,32
,5
,5
,5
,9
,11
,25
,37
,4
,17
,128
,32
,43
,128
,47
,35
,15
,61
,308
,10
,7
,155
,23
,47
,42
,2
,158
,627
,6
,2
,86
,6
,721
,51
,339
,11
,12
,19
,1
,172
,54
,1144
,9
