FIC,Non_FIC
,0
,470
,606
,7
,0
,1246
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,140
,597
,1263
,4
,0
,209
,25
,1
,473
,4
,0
,553
,0
,6
,34
,245
,356
,14
,3
,0
,118
,10
,12
,3
,0
,113
,3
,0
,86
,137
,691
,37
,410
,4
,0
,57
,622
,0
,0
,345
,3
,0
,1929
,13
,3
,0
,483
,1
,3
,1
,7
,15
,1493
,2
,10
,3
,0
,1360
,1032
,2
,0
,852
,554
,0
,632
,554
,4
,0
,183
,3
,0
,34
,102
,701
,0
,0
,0
,14
,4
,0
,6654
,0
,0
,0
,0
,0
,0
,1
,58
,9
,0
,5
,0
,0
,27
,4
,0
,875
,78
,4
,0
,72
,113
,12
,4
,0
,2532
,4
,0
,188
,5687
,4
,0
,686
,456
,4
,0
,1690
,4
,0
,56
,2
,9
,4
,0
,793
,465
,3
,0
,1421
,1953
,110
,4
,0
,5506
,12
,5
,0
,11
,107
,136
,1115
,23
,5
,0
,2611
,97
,4
,0
,215
,4
,0
,41
,14
,5
,0
,4
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,1
,0
,0
,0
,28
,683
,0
,0
,11
,3
,21
,1740
,1130
,5
,0
,4154
,1318
,4
,0
,779
,1
,1
,2134
,8
,0
,4
,0
,1463
,8
,0
,153
,961
,6427
,6
,1090
,5
,0
,4283
,5
,0
,309
,53
,131
,856
,4
,0
,138
,11
,0
,134
,2041
,899
,4
,0
,2941
,4
,0
,5917
,4
,0
,1049
,1700
,498
,4
,0
,421
,597
,4
,7123
,3
,6
,0
,5071
,8
,0
,1427
,4
,0
,3277
,5
,0
,8516
,4
,0
,1283
,4
,4
,1481
,2959
,750
,88
,2802
,49
,1803
,3329
,1022
,89
,4
,0
,1374
,1
,525
,2037
,5
,0
,5604
,1818
,809
,6
,342
,210
,8
,0
,0
,0
,0
,0
,0
,0
,0
,1
,12
,26
,9
,7
,0
,676
,68
,156
,3995
,300
,516
,67
,1
,29
,687
,135
,16
,4
,21
,639
,607
,382
,719
,4
,607
,1
,2
,5
,492
,4
,5
,0
,5
,1476
,4
,971
,5
,2138
,5
,677
,4
,4907
,26
,1334
,5
,3222
,4
,1871
,1603
,9
,1112
,13
,1
,7
,207
,475
,1
,4
,5
,5
,4
,4
,4
,4
,4
,2
,176
,101
,29
,6
,237
,18
