Version, Early, Middle, Late
2.7.10,0,0,0
2.7.9,0,0,0.33
2.7.8,0,0,0
2.7.7,0,0,0
2.7.6,0,0,0
2.7.5,0,0,0
2.7.4,0,0,0.5
2.7.3,0,0,0
2.7.2,0,0,0
2.7.1,0,0.21,0
2.6.9,0,0,0.5
2.6.8,0,0,0
2.6.7,0,0,0
2.6.6,0,0,0.2
2.6.5,0,0,0
2.6.4,0,0,0
2.6.3,0,0,0
2.6.2,0,0,0
2.6.1,0,0,0
2.6.0,0,0,0
2.5.7,0,0,0
2.5.6,0,0,0
2.5.5,0.5,0,0
2.5.4,0,0,0
2.5.3,0,0,0
2.5.2,0.33,0,0
2.5.1,0,0,0
2.5.0,0,0,0.25
2.4.5,0.5,0,0
2.4.4,0,0,0
2.4.3,0,0,0
2.4.2,0,0,0
2.4.1,0,0,0
2.4.0,0,0,0
2.3.11,0,0,0
2.3.10,0,0,0.5
2.3.9,0,0,0
2.3.6,0,0,0
2.3.5,0,0,0
2.3.4,0,0,0
2.3.3,0,0,0.5
2.3.2,0,0,0
2.3.1,0.33,0,0
2.3.0,0,0,0.1
2.2.29,0,0,0.33
2.2.28,0,0,0
2.2.27,0,0,0
2.2.26,0,0,0
2.2.25,0,0,0
2.2.24,0,0,0
2.2.23,0.33,0,0
2.2.22,0,0,0
2.2.21,0,0,0
2.2.20,0,0,0
2.2.19,0,0,0
2.2.18,0,0,0
2.2.17,0,0,0.33
2.2.16,0.08,0.06,0
2.2.15,0,0,0
2.2.14,0,0,0
2.2.13,0,0,0
2.2.12,0,0,0
2.2.11,0,0,0
2.2.10,0,0,0
2.2.9,0,0,0
2.2.8,0,0,0
2.2.7,0,0,0
2.2.6,0,0,0
2.2.5,0.5,0,0
2.2.4,0,0,0.5
2.2.3,0.17,0,0
2.2.2,0,0.5,0
2.2.1,0,0,0.5
2.2.0,0,0,0
2.1.0,0.13,0.06,0.09
1.10.19,0,0,0.08
1.10.18,0,0,0
1.10.17,0.27,0,0
1.10.16,0,0,0.12
1.10.15,0,0,0.04
1.10.14,0,0,0.3
1.10.13,0,0.14,0.23
1.10.12,0,0,0.36
1.10.11,0,0.06,0.12
1.10.10,0,0,0
1.10.9,0,0.15,0
1.10.8,0,0,0
1.10.7,0,0,0
1.10.6,0,0,0.2
1.10.5,0,0,0.12
1.10.4,0,0,0
1.10.3,0,0,0.8
1.10.2,0,0,0.08
1.10.0,0.25,0.18,0.05
1.9.5,0.25,0.29,0.15
1.9.0,0.18,0.22,0
1.8.5,0,0,0.22
1.8.4,0,0,0.24
1.8.3,0.25,0.5,0.33
1.8.2,0,0,0
1.8.1,0.37,0,0.24
1.8.0,0.5,0.42,0.21
1.7,0.48,0.45,0.26
1.6,0.25,0,0
1.5,0.26,0,0
1.4,0.2,0,0
1.3,0.29,0,0
1.2,0.25,0,0
1.1,0.17,0,0
