Version, FIC frequency, Non FIC frequency, FIC ration
1.10.8,0,7,0.0
1.10.7,0,8,0.0
1.10.6,1,7,0.125
1.10.5,1,12,0.07692307692307693
1.10.4,0,9,0.0
1.10.3,4,3,0.5714285714285714
1.10.2,1,19,0.05
1.10.0,42,338,0.11052631578947368
1.9.5,49,158,0.23671497584541062
1.9.0,33,165,0.16666666666666666
1.8.5,8,31,0.20512820512820512
1.8.4,6,21,0.2222222222222222
1.8.3,37,85,0.30327868852459017
1.8.2,0,11,0.0
1.8.1,31,86,0.26495726495726496
1.8.0,95,180,0.34545454545454546
1.7,39,84,0.3170731707317073
1.6,39,119,0.2468354430379747
1.5,17,49,0.25757575757575757
1.4,16,65,0.19753086419753085
1.3,17,42,0.288135593220339
1.2,9,28,0.24324324324324326
1.1,4,20,0.16666666666666666
