FIC,Non_FIC
69,41
23,4221
0,94
39,4
26,1246
250,290
64,23
930,564
37,6
130,7
17,6
1,3
1963,9
12,6
0,55
0,130
44,2
0,274
756,33
1,4
130,38
2,0
195,44
21,4
30,7
3,89
13,858
25,21
0,99
3,3
0,100
65,53
39,6
152,0
0,17
46,809
40,0
60,54
22,0
33,0
23,90
0,243
3,74
21,5
34,33
11,7
0,39
15,916
94,784
3,146
60,30
5,63
5,0
11,159
0,913
29,96
60,21
0,15
24,23
119,86
22,951
119,177
7,122
7,3
160,8
8,143
81,23
65,710
3,2
26,83
440,149
83,1
0,115
0,1297
79,41
35,2
16,62
0,0
34,14
30,2506
30,136
84,1054
301,4
388,32
6,0
26,2
623,0
0,0
8,0
14,18
203,72
1,13
111,25
12,0
211,71
116,0
9,151
57,50
0,1
13,820
1,18
0,0
0,0
0,23
41,0
50,91
35,35
307,114
190,0
49,0
0,396
230,2
112,1057
29,1
545,400
121,0
116,1088
64,1
116,0
1,79
34,3
0,2591
0,0
2,0
13,72
6,45
466,14
41,0
161,100
149,1
3,0
20,0
0,0
30,235
59,48
20,881
42,0
35,68
43,1
1,47
7,0
2,0
0,8
29,9
2,0
75,0
513,1
84,0
0,141
43,0
2,11
43,0
0,70
27,0
8,931
41,92
1500,0
87,22
2,0
12,261
95,0
171,77
63,0
980,1176
9,26
0,6
474,28
88,0
0,8
4,48
11,0
65,0
921,0
61,0
18,870
185,0
185,0
57,0
140,2646
30,77
49,783
23,171
217,30
1610,551
40,24
371,78
443,5
1,160
183,458
419,1084
0,1385
54,14
0,1542
225,13
2,229
662,6
132,4
1,9
2,554
417,1358
0,247
58,427
48,214
6,553
39,219
207,45
105,6
367,148
24,2297
753,0
7,101
223,112
12,415
10,23
121,704
576,15
62,311
7,0
23,391
1210,2
1,22
1,9
163,5419
0,1129
31,106
62,72
94,1
135,55
31,213
1,696
130,44
57,207
37,0
49,36
74,23
39,190
0,6
50,55
15,53
1,3
148,20
25,149
1,91
5,4
41,37
1,7
1,36
5,349
40,8
0,138
1,25
3,10
1,39
2,13
21,83
160,538
9,22
31,31
6,41
3,269
94,71
65,38
97,3
101,878
1,13
1500,14
23,7
41,12
59,55
39,7
273,32
