FIC,Non_FIC
5.53,2.59
2.97,5.25
4.77,2.84
3.13,2.67
2.29,6.84
1.30,4.34
2.60,7.80
3.17,3.00
2.48,10.00
2.61,1.00
2.69,1.00
1.11,3.50
4.35,3.25
3.00,3.33
3.25,3.25
3.35,6.50
4.32,7.00
4.00,6.00
1.00,10.50
2.00,12.00
2.00,2.00
8.64,2.00
2.88,3.19
2.10,1.00
1.92,1.00
3.00,14.00
4.87,2.00
8.00,2.00
1.37,9.00
3.00,13.00
3.52,9.00
2.82,4.88
3.93,4.00
3.67,11.50
6.46,5.00
3.80,2.50
3.58,6.67
4.25,2.50
9.75,1.00
1.45,7.00
1.00,24.00
5.75,10.00
2.00,2.50
2.00,1.60
2.38,1.00
2.25,1.50
1.33,4.33
3.33,1.00
3.17,1.00
1.66,3.92
5.33,2.00
1.75,2.00
1.00,3.00
1.00,1.00
8.50,3.74
1.50,2.81
3.88,1.92
4.23,1.00
4.83,1.75
2.00,2.53
4.00,1.33
2.03,3.25
4.24,2.00
3.62,2.00
3.05,3.00
1.00,1.00
3.69,1.00
3.85,3.00
2.00,1.00
2.33,1.00
4.01,1.00
6.29,1.00
1.50,2.00
4.00,2.07
2.67,2.00
3.73,3.25
4.17,1.00
3.33,6.00
6.67,7.00
2.00,2.07
3.90,3.00
4.30,2.00
5.60,6.00
3.12,2.00
6.07,3.00
10.83,1.00
3.88,1.00
2.00,19.00
5.95,4.00
2.72,1.50
8.56,1.00
2.33,5.00
1.45,1.50
2.50,3.50
35.00,12.00
4.50,2.50
2.48,1.50
3.25,1.00
1.50,2.00
2.82,7.00
2.23,7.60
2.50,7.00
4.00,3.00
3.13,3.50
1.93,2.80
3.00,1.00
3.44,1.00
3.75,1.00
4.08,2.54
6.39,3.00
2.60,10.00
1.00,9.00
3.16,3.00
2.66,1.00
3.04,3.00
3.67,1.00
3.00,16.00
2.05,3.00
1.46,5.00
5.16,2.50
1.12,1.00
9.75,1.00
2.96,2.67
2.00,30.00
1.00,3.00
2.00,4.00
2.12,1.50
1.50,3.00
2.17,1.00
10.56,3.75
7.71,2.25
2.10,1.00
6.00,35.00
4.38,6.00
4.50,4.98
12.50,9.00
3.83,5.95
4.20,1.33
2.75,4.00
2.54,1.58
4.00,18.00
4.00,3.33
3.83,7.00
5.00,1.67
11.12,1.75
3.00,1.00
8.88,3.00
2.88,1.50
4.85,2.83
4.44,1.00
1.83,1.40
4.85,2.54
4.44,3.67
2.72,5.00
4.85,1.80
1.00,4.00
1.00,3.00
2.00,7.00
2.38,2.00
2.19,1.00
2.33,1.00
3.29,5.33
4.40,4.00
1.00,3.00
3.33,1.52
1.00,3.17
1.00,1.00
1.58,1.00
5.00,1.00
2.00,2.00
6.73,4.27
3.50,6.00
5.34,2.50
1.50,10.50
2.19,2.00
14.00,6.75
3.71,7.05
7.60,1.75
7.50,5.00
5.00,2.40
4.83,3.00
2.50,1.00
6.84,1.50
1.65,5.00
4.09,1.00
13.00,6.50
1.50,14.80
7.55,2.00
1.79,2.33
2.12,2.67
1.17,3.80
4.06,2.22
3.72,1.00
2.27,2.50
12.50,2.93
7.41,3.67
2.02,6.00
18.00,1.50
3.70,2.50
3.00,2.00
3.00,2.45
4.50,10.00
5.25,3.67
3.29,2.50
