FIC,Non_FIC
,120
,5
,914
,2
,10
,35
,135
,89
,70
,158
,91
,110
,5
,13
,25
,13
,7
,4
,66
,19
,18
,3376
,144
,9
,44
,13
,0
,193
,37
,36
,17
,59
,0
,20
,17
,99
,153
,161
,34
,29
,18
,1
,51
,132
,24
,21
,2
,19
,31
,5
,4
,19
,113
,40
,16
,93
,677
,0
,23
,499
,89
,1067
,137
,13
,491
,643
,8
,11
,109
,64
,21
,11
,1
,1
,19
,54
,7
,10
,8
,35
,20
,7
,77
,171
,1326
,1388
,755
,5
,100
,125
,110
,0
,2
,33
,1
,25
,2
,2
,21
,4
,1
,5
,3
,26
,3
,17
,2
,13
,172
,3
,40
,98
,15
,789
,0
,21
,25
,246
,157
,154
,165
,958
,4
,17
,54
,5
,238
,7
,72
,214
,451
,220
,168
,124
,353
,4
,3
,2
,12
,773
,66
,11
,3
,12
,20
,173
,6
,65
,130
,19
,1614
,2146
,31
,24
,24
,89
,51
,7
,39
,2
,87
,1
,22
,34
,13
,30
,11
,46
,73
,688
,69
,0
,3
,3
,2
,3
,33
,0
,28
,1
,4
,20
,5
,67
,70
,29
,5
,16
,101
,30
,109
,109
,0
,0
,44
,0
,0
,855
,60
,28
,178
,85
,58
,0
,251
,0
,0
,530
,17
,95
,12
,8
,3
,12
,0
,127
,29
,75
,34
,40
,2
,0
,18
,9
,1
,44
,50
,91
,66
,0
,0
,16
,1
,43
,0
,93
,0
,0
,65
,566
,175
,13
,78
,38
,0
,21
,0
,81
,2
,4
,88
,70
,22
,143
,874
,1281
,210
,654
,49
,0
,18
,6
,276
,11
,94
,26
,18
,70
,100
,0
,10
,25
,107
,52
,645
,1
,13
,0
,93
,21
,44
,64
,1
,1
,14
,23
,24
,25
,18
,85
,0
,28
,10
,26
,17
,1
,12
,55
,1057
,0
,22
,10
,3
,10
,12
,35
,99
,19
,4
,31
,0
,8
,8
,954
,9
,127
,0
,53
,20
,29
,86
,15
,29
,65
,18
,240
,50
,699
,31
,78
,53
,17
,264
,30
,111
,44
,95
,1416
,364
,1811
,12
,9
,0
,0
,32
,2
,14
,19
,12
,54
,91
,0
,1390
,1207
,53
,97
,107
,22
,2
,4
,7
,2
,4
,374
,467
,220
,20
,762
,56
,25
,920
,128
,3893
,1
,293
,98
