FIC,Non_FIC
227,14
0,893
58,0
2,0
410,0
0,0
127,0
190,20
11,520
36,1
6,192
0,329
703,0
167,0
1,674
82,16
23,866
19,1
15,2
1,72
0,28
7,23
186,69
9,10
46,583
10,0
227,0
535,190
0,148
0,118
143,0
2788,0
52,13
1,1
637,0
46,0
0,0
0,97
0,59
0,11
36,1
106,16
4,8
65,27
878,309
1082,73
1821,64
2,5
67,16
6,50
792,127
0,215
3,46
55,0
117,11
497,200
872,28
312,1
2,29
141,93
1,35
146,154
0,163
165,68
246,5
0,426
3855,0
59,0
0,0
0,15
1057,3
378,69
116,74
3,58
392,11
898,14
209,13
0,7
615,0
11,10
688,98
3,0
0,43
0,186
4,396
11,62
477,81
0,40
2,162
149,15
1170,557
3,243
0,729
0,23
2,59
167,183
1,13
32,30
1,1
331,0
195,49
72,48
99,470
0,321
29,564
27,0
733,1
524,1
119,241
538,0
168,0
1184,380
216,43
39,93
133,10
115,9
1994,16
605,24
0,80
11,477
322,5
63,2651
0,30
0,659
25,0
100,248
2,9
561,219
1116,561
239,1
0,19
463,29
20,0
364,67
0,3
577,13
0,6
259,2
227,6
111,0
17,158
160,29
190,76
64,0
286,3
0,2
15,389
316,0
0,65
204,561
260,151
0,1
5,13
1,5
0,3
0,32
0,41
53,37
222,156
136,6
0,320
0,449
623,116
11,0
229,889
1,553
73,70
116,1
287,6
0,1
777,27
185,60
264,21
264,493
29,1
941,7
534,2
0,1216
0,13
1300,1065
4392,23
757,208
956,3
155,180
7,121
0,144
1042,331
713,182
635,165
124,0
238,107
0,70
73,12
6,66
149,58
0,820
65,209
133,3
71,1231
45,347
301,20
902,69
23,13
44,1
20,0
262,1
0,0
826,0
70,1
13,27
156,63
239,29
17,131
367,1120
451,114
358,626
2168,723
185,1422
2344,3
66,7
368,58
26,15
328,11
337,1679
461,0
40,45
0,906
324,116
21,940
31,543
21,166
774,89
0,0
135,1139
1089,1673
206,0
1438,13
253,42
125,1082
7,38
310,7
72,11
1164,15
1947,44
32,0
326,71
30,1
23,0
73,0
1290,16
0,681
179,0
1610,15
2277,1
3,26
0,0
216,8
182,16
21,1415
1106,486
25,0
0,1
152,0
162,177
340,2
1249,0
20,1599
832,467
205,3812
0,740
193,0
135,11
101,0
,278
,2548
,53
,550
,1
,0
,10
,14
,2
,2322
,3
,24
,2
,5
,2
,81
,63
,41
,2674
,40
,103
,415
,4
,0
,0
,33
,0
,9
,3
,3
,4
,4
,574
,219
,179
,26
,3
,425
,1257
,2
,38
,17
,61
,8
,4
,3
,533
,22
,0
,0
,46
,11
,1
,27
,1
,3
,2
,39
,0
,42
,0
,421
,112
,494
,1
,37
,68
,307
,1376
,2613
,0
,35
,42
,0
,10
,1
,0
,0
,243
,339
,0
,0
,6
,0
,5
,7
,8
,0
,0
,3
,434
,57
,1
,190
,193
,245
,153
,0
,0
,765
,561
,0
,0
,5
,5
,28
,5
,7
,0
,12
,0
,209
,533
,0
,7
,0
,0
,0
,17
,1
,1494
,1225
,2415
,1326
,1
,1
,2
,273
,368
,258
,0
,1377
,194
,1
,1519
,1216
,0
,0
,267
,1052
,1416
,1
,0
,0
,95
,182
,263
,3
,879
,52
,26
,40
,1240
,283
,8
,832
,23
,14
,219
,255
,0
,3
,0
,0
,3
,1
,2
,4
,8
,8
,1182
,306
,0
,1339
,0
,1036
,0
,108
,179
,28
,0
,56
,162
,0
,0
,0
,0
,23
,106
,1536
,0
,0
,0
,0
,0
,0
,0
,440
,275
,3
,6
,40
,6
,274
,2
,96
,0
,21
,297
,1992
,1
,3308
,185
,1718
,49
,14
,1102
,20
,84
,152
,111
,1032
,1223
,158
,1709
,150
,149
,2278
,1477
,320
,696
,27
,93
,45
,22
,129
,1263
,100
,8
,3
,346
,17
,528
,83
,198
,18
,201
,60
,195
,952
,0
,26
,109
,1078
,1351
,1155
,706
,1580
,106
,3
,70
,19
,60
,797
,38
,147
,413
,271
,1420
,819
,46
,33
,22
,177
,17
,109
,118
,41
,25
,3
,14
,685
,3480
,0
,0
,229
,119
,39
,84
,955
,44
,2
,31
,931
,22
,11
,26
,1146
,0
,0
,0
,0
,0
,0
,0
,0
,0
,177
,2
,368
,32
,813
,147
,1
,2
,5
,1
,1
,2
,0
,8
,9
,22
,14
,113
,89
,311
,116
,222
,2
,23
,6
,116
,0
,0
,0
,0
,23
,2
,57
,15
,11
,156
,0
,107
,188
,0
,869
,382
,6638
,173
,1
,89
,3535
,0
,27
,3
,18
,13
,3
,5
,1
,7
,3
,0
,31
,1
,9
,2
,2
,2
,80
,810
,14318
,212
,67
,1163
,858
,271
,331
,2592
,1245
,96
,34
,43
,8
,1274
,1126
,3
,751
,1630
,0
,0
,4481
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,842
,0
,3
,0
,1
,306
,429
,11
,475
,184
,102
,4458
,149
,65
,1600
,0
,1320
,579
,0
,0
,0
,0
,0
,0
,164
,0
,18
,14
,40
,371
,210
,47
,11
,21
,5
,27
,34
,0
,6
,0
,23
,4
,42
,59
,0
,25
,0
,16
,0
,63
,4
,11
,0
,44
,0
,69
,0
,0
,6
,0
,17
,0
,2
,0
,20
,58
,1
,11
,0
,9
,0
,138
,1213
,818
,1291
,1
,3
,5
,8
,1
,13
,6
,0
,18
,6
,7
,28
,0
,157
,60
,0
,0
,244
,741
,11
,33
,0
,414
,1
,0
,0
,2
,66
,1
,63
,819
,0
,0
,61
,33
,7
,149
,15
,10
,2
,0
,80
,11
,0
,1
,8
,0
,53
,26
,1203
,371
,560
,26
,0
,331
,945
,32
,0
,29
,0
,60
,0
,0
,0
,0
,171
,0
,111
,1296
,225
,0
,0
,0
,1039
,26
,0
,519
,0
,0
,0
,1
,0
,1
,55
,0
,81
,15
,836
,0
,21
,25
,23
,160
,46
,0
,12
,5
,4
,0
,1012
,1984
,744
,543
,708
,0
,2
,4536
,0
,0
,91
,1247
,2
,179
,19
,186
,978
,1
,52
,28
,0
,116
,0
,0
,347
,218
,14
,4
,17
,3
,3
,7
,0
,8
,8
,2
,575
,12
,6
,0
,0
,0
,0
,4
,2
,0
,4
,0
,0
,0
,0
,0
,0
,0
,5
,29
,9
,14
,19
,4
,0
,11
,34
,0
,0
,0
,35
,104
,242
,5
,666
,0
,19207
,0
,0
,0
,1845
,0
,4370
,64
,869
,5
,87
,603
,444
,322
,1802
,1205
,127
,2801
,0
,0
,0
,0
,0
,1
,1567
,4770
,638
,4177
,22
,3411
,7237
,43
,73
,758
,1
,0
,0
,0
,0
,0
,0
,0
,0
,0
,4
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,40
,0
,0
,12
,32
,124
,602
,448
,348
,8
,0
,105
,205
,126
,18
,38
,534
,112
,31
,1558
,29
,1405
,324
,0
,2025
,4
,43
,0
,856
,936
,0
,12
,0
,0
,305
,0
,57
,231
,608
,16
,8
,22
,6
,210
,39
,42
,2
,41
,1
,1040
,23
,4
,11
,358
,0
,30
,11
,18
,1451
,1130
,0
,0
,0
,0
,0
,0
,1261
,2
,574
,0
,0
,16
,19
,15
,1
,1335
,33
,3
,220
,169
,13
,0
,0
,25
,1044
,13
,0
,0
,0
,337
,50
,841
,57
,13
,261
,0
,185
,182
,4
,45
,5094
,2
,65
,1219
,450
,3
,2534
,42
,17
,1334
,1723
,14
,1284
,0
,0
,16
,0
,16
,459
,1353
,55
,3007
,1077
,4031
,1359
,46
,7526
,3
,5
,5
,22
,13
,1276
,4
,6907
,9163
,2
,13
,13
,5536
,9668
,221
,1
,970
,373
,2550
,545
,701
,88
,51
,2734
,4188
,4607
,4946
,1
,24
,0
,340
,1
,1477
,0
,318
,19
,38
,4
,162
,18
,272
,838
,239
,61
,18
,23
,34
